Distributor Name,Location,Vertical,Annual Sales Range,ARR Band,# of Products,Starting MRR,Ending MRR,MRR Growth,% MRR Growth,Starting ARR,Ending ARR,Segment
Johnson Logistics,"New John, IA, US",C-Store,$25mm - $50mm,$25k - $50k,1,"$4,129","$3,304",-$825,-0.1998,"$49,548",39648,At Risk Accounts
Hall Foods,"South Nancyview, NS, Canada",Seafood,$500mm - $1bn,$100k - $250k,2,"$16,172","$12,941","-$3,231",-0.1998,"$194,064",155292,At Risk Accounts
Stephens Enterprises,"Donnaport, AB, Canada",Meat,$25mm - $50mm,$50 - $75k,1,"$6,241","$4,995","-$1,246",-0.1996,"$74,892",59940,At Risk Accounts
Hill Foods,"Thompsonborough, ID, US",Produce,$250mm - $500mm,$75k - $100k,1,"$6,757","$5,411","-$1,346",-0.19920000000000002,"$81,084",64932,At Risk Accounts
Lawson Supply Co.,"East Sydneyhaven, TN, US",Seafood,$25mm - $50mm,$75k - $100k,4,"$6,789","$5,438","-$1,351",-0.19899999999999998,"$81,468",65256,At Risk Accounts
Brennan Foods,"Port Travisbury, MN, US",C-Store,$100mm - $250mm,$100k - $250k,3,"$17,213","$13,878","-$3,335",-0.1937,"$206,556",166536,At Risk Accounts
Rodriguez Logistics,"East Patrickville, GA, US",Broadline,$25mm - $50mm,$25k - $50k,1,"$2,841","$2,319",-$522,-0.1837,"$34,092",27828,At Risk Accounts
Wong Distribution,"Roseport, NV, US",Jan-San,$1bn+,$250k+,2,"$49,164","$40,184","-$8,980",-0.1827,"$589,968",482208,At Risk Accounts
Graham Enterprises,"New Kellihaven, KS, US",C-Store,$50mm - $100mm,$25k - $50k,1,"$2,848","$2,362",-$486,-0.17059999999999997,"$34,176",28344,At Risk Accounts
Johnson Supply Co.,"Toddmouth, ID, US",C-Store,$10mm - $25mm,$50 - $75k,1,"$5,941","$4,941","-$1,000",-0.16829999999999998,"$71,292",59292,At Risk Accounts
Malone Distribution,"New Noah, CO, US",Jan-San,$50mm - $100mm,$100k - $250k,1,"$11,674","$9,714","-$1,960",-0.1679,"$140,088",116568,At Risk Accounts
Obrien Distribution,"Smithborough, CA, US",Broadline,$100mm - $250mm,$75k - $100k,1,"$8,205","$6,863","-$1,342",-0.1636,"$98,460",82356,At Risk Accounts
Clark Supply Co.,"West Kimberly, UT, US",C-Store,$10mm - $25mm,$10k - $25k,2,"$1,116",$934,-$182,-0.1631,"$13,392",11208,At Risk Accounts
Ashley Logistics,"Lake Dennisville, OR, US",Ice Cream,$10mm - $25mm,$10k - $25k,2,"$1,444","$1,214",-$230,-0.1593,"$17,328",14568,At Risk Accounts
Lee Supply Co.,"North Jamesmouth, WI, US",Broadline,$250mm - $500mm,$250k+,1,"$22,168","$18,681","-$3,487",-0.1573,"$266,016",224172,At Risk Accounts
Kennedy Logistics,"New Ashleychester, OR, US",Broadline,$10mm - $25mm,$50 - $75k,2,"$6,048","$5,100",-$948,-0.1567,"$72,576",61200,At Risk Accounts
Perez Distribution,"Georgemouth, NL, Canada",Broadline,$10mm - $25mm,$10k - $25k,1,"$1,584","$1,336",-$248,-0.1566,"$19,008",16032,At Risk Accounts
Galloway Supply Co.,"East Donna, WI, US",Broadline,$1bn+,$100k - $250k,2,"$20,755","$17,521","-$3,234",-0.1558,"$249,060",210252,At Risk Accounts
Ross Distribution,"New Brookefurt, NL, Canada",Produce,$500mm - $1bn,$75k - $100k,2,"$7,297","$6,162","-$1,135",-0.1555,"$87,564",73944,At Risk Accounts
Caldwell Distribution,"Bryantchester, LA, US",Bakery,$25mm - $50mm,$50 - $75k,2,"$5,481","$4,643",-$838,-0.15289999999999998,"$65,772",55716,At Risk Accounts
Murphy Supply Co.,"East Williamport, NV, US",Produce,$50mm - $100mm,$100k - $250k,2,"$9,973","$8,460","-$1,513",-0.1517,"$119,676",101520,At Risk Accounts
Guerrero Logistics,"West Toni, AL, US",C-Store,$10mm - $25mm,$50 - $75k,2,"$4,381","$3,719",-$662,-0.15109999999999998,"$52,572",44628,At Risk Accounts
Crosby Supply Co.,"Heatherchester, NS, Canada",Jan-San,$25mm - $50mm,$75k - $100k,3,"$7,105","$6,034","-$1,071",-0.1507,"$85,260",72408,At Risk Accounts
Chandler Enterprises,"Booneland, WA, US",Produce,$250mm - $500mm,$100k - $250k,2,"$17,968","$15,281","-$2,687",-0.1495,"$215,616",183372,At Risk Accounts
Valencia Supply Co.,"Christinabury, MD, US",Broadline,$100mm - $250mm,$100k - $250k,1,"$10,980","$9,341","-$1,639",-0.1493,"$131,760",112092,At Risk Accounts
Baker Distribution,"Faulknerside, AL, US",Jan-San,$25mm - $50mm,$75k - $100k,1,"$7,697","$6,549","-$1,148",-0.1491,"$92,364",78588,At Risk Accounts
Bowers Distribution,"Port Michelleland, NH, US",C-Store,$25mm - $50mm,$25k - $50k,2,"$2,836","$2,425",-$411,-0.1449,"$34,032",29100,At Risk Accounts
Harris Distribution,"Porterton, CO, US",Broadline,$50mm - $100mm,$25k - $50k,2,"$4,038","$3,459",-$579,-0.1434,"$48,456",41508,At Risk Accounts
Benson Foods,"New Timothy, ND, US",Coffee,$10mm - $25mm,$10k - $25k,2,$880,$754,-$126,-0.1432,"$10,560",9048,At Risk Accounts
Miller Distribution,"Rachelshire, ON, Canada",Produce,$100mm - $250mm,$100k - $250k,3,"$13,198","$11,319","-$1,879",-0.1424,"$158,376",135828,At Risk Accounts
Morris Logistics,"New Ashleyhaven, WA, US",Broadline,$1bn+,$250k+,1,"$24,196","$20,767","-$3,429",-0.1417,"$290,352",249204,At Risk Accounts
Wallace Distribution,"Taraton, RI, US",Meat,$50mm - $100mm,$50 - $75k,2,"$5,580","$4,805",-$775,-0.1389,"$66,960",57660,At Risk Accounts
James Distribution,"Wilsonfort, CO, US",Jan-San,$100mm - $250mm,$100k - $250k,1,"$9,217","$7,964","-$1,253",-0.1359,"$110,604",95568,At Risk Accounts
Obrien Foods,"South Paulmouth, OH, US",Produce,< $10mm,$25k - $50k,1,"$3,021","$2,617",-$404,-0.13369999999999999,"$36,252",31404,At Risk Accounts
Stevens Logistics,"Jacobville, NM, US",Meat,< $10mm,$25k - $50k,2,"$3,001","$2,600",-$401,-0.1336,"$36,012",31200,At Risk Accounts
Mueller Logistics,"Johnsonland, NM, US",Broadline,$10mm - $25mm,$25k - $50k,1,"$2,542","$2,205",-$337,-0.1326,"$30,504",26460,At Risk Accounts
Hayes Foods,"Susanstad, GA, US",Produce,$100mm - $250mm,$75k - $100k,1,"$6,493","$5,638",-$855,-0.1317,"$77,916",67656,At Risk Accounts
Reed Distribution,"North Madison, NB, Canada",Specialty,$10mm - $25mm,$50 - $75k,1,"$4,383","$3,818",-$565,-0.12890000000000001,"$52,596",45816,At Risk Accounts
Hoover Foods,"Pattersonfort, ID, US",Specialty,< $10mm,$25k - $50k,2,"$2,881","$2,515",-$366,-0.127,"$34,572",30180,At Risk Accounts
